danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.714,0.472,2.0,-7.375,1.0,0.0864,0.013,4.51e-06,0.266,0.238,131.121
0.561,0.965,7.0,-3.673,0.0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93
0.621,0.782,2.0,-5.548,1.0,0.044,0.0125,0.033,0.23,0.55,128.033
0.835,0.679,7.0,-5.329,0.0,0.0364,0.583,1.98e-06,0.218,0.85,124.98
0.65,0.715,5.0,-5.198,0.0,0.253,0.0993,0.000291,0.126,0.187,106.672
0.649,0.778,5.0,-6.587,1.0,0.0934,0.423,0.0,0.23,0.505,169.988
0.593,0.618,0.0,-9.226,0.0,0.0509,0.0155,0.578,0.132,0.0371,122.031
0.733,0.69,9.0,-5.529,0.0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992
0.911,0.712,1.0,-5.105,0.0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005
0.667,0.515,7.0,-5.98,1.0,0.028,0.135,6.25e-06,0.308,0.564,84.989
0.504,0.944,3.0,-4.057,1.0,0.109,0.0371,1.08e-05,0.073,0.486,124.44
0.704,0.797,0.0,-5.927,1.0,0.0475,0.0826,0.000745,0.0546,0.825,139.994
0.686,0.494,1.0,-7.093,1.0,0.0355,0.613,5.8e-05,0.402,0.7,168.946
0.783,0.841,11.0,-3.627,0.0,0.151,0.038,1.63e-05,0.103,0.687,111.977
0.776,0.754,3.0,-4.573,1.0,0.0632,0.0818,2.47e-06,0.303,0.862,122.921
0.818,0.69,0.0,-5.119,1.0,0.0454,0.00327,0.0,0.186,0.688,110.071
0.914,0.622,7.0,-6.538,1.0,0.0892,0.146,1.68e-05,0.0632,0.77,130.04
0.712,0.988,5.0,-3.704,1.0,0.0721,0.399,0.0346,0.0981,0.516,122.003
0.528,0.735,5.0,-6.151,0.0,0.0399,0.0642,0.0,0.192,0.327,169.905
0.801,0.475,7.0,-8.797,0.0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047
0.647,0.686,3.0,-5.745,0.0,0.0413,0.08,1.34e-06,0.528,0.268,79.928
0.459,0.799,8.0,-5.985,0.0,0.0979,0.241,4.81e-05,0.231,0.161,124.056
0.663,0.887,1.0,-5.918,1.0,0.0686,0.00685,0.000328,0.0943,0.501,124.022
0.951,0.878,2.0,-2.565,1.0,0.211,0.0509,1.61e-05,0.321,0.923,133.014
0.693,0.734,4.0,-6.189,1.0,0.202,0.0145,0.0,0.217,0.708,180.06
0.739,0.787,6.0,-5.015,1.0,0.051,0.0282,0.0,0.031,0.915,103.013
0.442,0.538,4.0,-8.55,0.0,0.0451,0.717,2.95e-05,0.09,0.139,122.758
0.44,0.317,8.0,-9.258,1.0,0.0531,0.891,4.78e-06,0.141,0.268,169.914
0.758,0.308,11.0,-12.194,0.0,0.0302,0.0604,8.69e-06,0.0714,0.307,106.989
0.838,0.565,2.0,-7.295,1.0,0.0456,0.0136,0.000125,0.0765,0.554,116.018
0.565,0.636,0.0,-8.198,1.0,0.0638,0.107,9.9e-06,0.447,0.525,170.01
0.571,0.544,6.0,-10.613,1.0,0.0299,0.453,0.00805,0.322,0.216,132.052
0.688,0.731,7.0,-6.477,1.0,0.0276,0.0259,1.8e-06,0.459,0.529,95.029
0.857,0.538,2.0,-8.169,1.0,0.289,0.0384,0.0,0.118,0.686,77.02
0.78,0.689,7.0,-5.668,1.0,0.141,0.0368,9.69e-06,0.0698,0.642,115.042
0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053
0.215,0.391,7.0,-6.894,1.0,0.0317,0.22,1.68e-05,0.129,0.186,80.756
0.426,0.255,5.0,-7.961,1.0,0.0349,0.724,0.0,0.112,0.27,169.582
0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
0.876,0.498,10.0,-7.511,1.0,0.0478,0.0706,0.0,0.143,0.428,122.016
0.797,0.912,2.0,-3.391,1.0,0.0512,0.031,0.0,0.113,0.474,112.036
0.882,0.559,5.0,-6.711,0.0,0.154,0.267,0.0,0.0902,0.844,94.995
0.637,0.715,2.0,-4.971,0.0,0.0455,0.148,0.0,0.0892,0.308,141.872
0.804,0.674,5.0,-5.453,0.0,0.0333,0.294,1.18e-06,0.115,0.292,99.968
0.509,0.922,3.0,-4.51,1.0,0.115,0.0139,0.0,0.108,0.578,160.064
0.676,0.508,8.0,-7.641,0.0,0.0347,0.0169,0.0,0.139,0.407,121.888
0.346,0.5,10.0,-6.097,1.0,0.0388,0.757,0.0,0.189,0.191,202.466
0.586,0.525,1.0,-7.163,0.0,0.0615,0.111,0.0,0.134,0.508,133.629
0.705,0.489,0.0,-9.634,1.0,0.0553,0.374,6.18e-06,0.115,0.189,127.963
0.704,0.932,7.0,-3.245,0.0,0.0775,0.101,0.363,0.204,0.616,109.992
0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928
0.87,0.516,1.0,-8.006,1.0,0.0541,0.656,0.00823,0.11,0.53,111.005
0.785,0.693,5.0,-4.231,0.0,0.05,0.198,0.161,0.0937,0.478,122.028
0.607,0.671,9.0,-5.641,1.0,0.214,0.0741,0.0,0.598,0.679,170.159
0.801,0.806,11.0,-5.206,1.0,0.0381,0.382,0.000669,0.114,0.802,106.999
0.881,0.592,2.0,-4.898,1.0,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
